City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,Todos Santos,23.45,-110.2167,82.65,74,14,5.55,MX,2022-10-03 01:22:59
322,Anchorage,61.2181,-149.9003,49.95,88,100,6.91,US,2022-10-03 01:22:04
323,Alofi,-19.0595,-169.9187,80.49,65,7,12.66,NU,2022-10-03 01:22:59
324,Naze,28.3667,129.4833,83.32,73,27,11.86,JP,2022-10-03 01:22:59
325,Olafsvik,64.8945,-23.7142,48.02,83,79,25.12,IS,2022-10-03 01:23:00
326,Vanimo,-2.6741,141.3028,85.48,66,55,7.76,PG,2022-10-03 01:23:00
327,Vicuna,-30.0319,-70.7081,47.93,52,0,1.23,CL,2022-10-03 01:23:00
328,Duldurga,50.6761,113.5931,30.43,52,7,15.93,RU,2022-10-03 01:23:01
329,San Juan De La Maguana,18.8059,-71.2299,73.24,85,99,2.24,DO,2022-10-03 01:23:01
330,Sehithwa,-20.4667,22.7167,70.38,23,0,6.78,BW,2022-10-03 01:23:01
331,Caravelas,-17.7125,-39.2481,73.2,93,32,6.44,BR,2022-10-03 01:23:02
332,Avera,33.194,-82.5271,68.56,62,0,9.69,US,2022-10-03 01:23:02
333,Dickinson,29.4608,-95.0513,78.91,57,0,3.44,US,2022-10-03 01:23:03
334,Forestville,38.8451,-76.875,53.98,92,100,17.27,US,2022-10-03 01:23:03
335,Visby,57.6409,18.296,49.05,93,98,6.91,SE,2022-10-03 01:23:03
336,Sohag,26.557,31.6948,80.89,28,0,8.46,EG,2022-10-03 01:23:04
337,Clyde,41.3042,-82.9752,58.59,78,0,12.73,US,2022-10-03 01:23:04
338,Severomuysk,56.1481,113.4267,12.76,84,87,4.5,RU,2022-10-03 01:23:05
339,Tabou,4.423,-7.3528,75.34,92,100,6.58,CI,2022-10-03 01:23:05
340,Comodoro Rivadavia,-45.8667,-67.5,48.06,76,0,14.97,AR,2022-10-03 01:23:06
341,Oranjemund,-28.55,16.4333,56.23,95,7,9.55,NA,2022-10-03 01:23:06
342,Udachnyy,66.4167,112.4,20.57,92,100,12.19,RU,2022-10-03 01:23:07
343,Nioro,13.35,-15.75,76.23,91,80,2.42,GM,2022-10-03 01:23:07
344,Bocas Del Toro,9.3333,-82.25,80.28,79,100,4.05,PA,2022-10-03 01:23:07
